Reference,Qty,Value,Footprint,Price,Field5,,,,,,,,,,,,Pret,
C1.C2.C3,3,1u,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.3388,https://ro.farnell.com/multicomp-pro/1206b105j250cp/cap-1uf-25v-mlcc-1206/dp/3881061,,,,,,,,,,,,1.0164,
C4.C6.C10.C12.C13.C15.C16.C17.C19.C20,10,0.1u,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.2541,https://ro.farnell.com/avx/12065c104jat2a/cap-0-1-f-50v-5-x7r-1206/dp/2280701,,,,,,,,,,,,2.541,
C5,1,1000p,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.2541,https://ro.farnell.com/multicomp-pro/1206n102j500ct/cap-1000pf-50v-5-c0g-np0-1206/dp/2497128,,,,,,,,,,,,0.2541,
C7.C8.C9,3,10u,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.3509,https://ro.farnell.com/samsung-electro-mechanics/cl31b106kahnnnf/capacitor-mlcc-10uf-x7r-25v-1206/dp/4539061,,,,,,,,,,,,1.0527,
C11,1,0.22u,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.3388,https://ro.farnell.com/avx/12065c224jat2a/cap-0-22-f-50v-5-x7r-1206/dp/1740703,,,,,,,,,,,,0.3388,
C14,1,4700p,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.2541,https://ro.farnell.com/kemet/c1206c472j5ractu/cap-4700pf-50v-5-x7r-1206/dp/2905831,,,,,,,,,,,,0.2541,
C18.C21,2,1u,Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_HandSolder,0.6776,https://ro.farnell.com/kemet/t491a105k025at/cap-1-f-25v-10-1206-smd/dp/1457409,,,,,,,,,,,,1.3552,
D1.D2.D3.D4.D5,5,3V6,footprints:SOT_BZX84C3V3-7-F_DIO-L,0.2662,https://ro.farnell.com/diodes-inc/bzx84c3v6/diode-zener-3-6v-0-35w-sot23-3/dp/1902466,,,,,,,,,,,,1.331,
D6,1,LED,LED_SMD:LED_1206_3216Metric,0.3388,https://ro.farnell.com/qt-brightek/qblp650-o/led-orange-1206-210mcd-605nm-smd/dp/4469638,,,,,,,,,,,,0.3388,
D7.D8,2,90V,footprints:SMBJSeries_LTF,0.7744,https://ro.farnell.com/taiwan-semiconductor/smbj90a/tvs-diode-600w-90v-unidir-do-214aa/dp/2981391,,,,,,,,,,,,1.5488,
J1,1,AudioJack3,Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,3.1097,https://ro.farnell.com/same-sky/sj-3523-smt-tr/phone-audio-conn-r-a-stereo-jack/dp/4814364,,,,,,,,,,,,3.1097,
J2.J15,2,Conn_01x08_Socket,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,5.0699,https://ro.farnell.com/harwin/m20-7820842/connector-rcpt-8pos-2-54mm-1row/dp/3225927,,,,,,,,,,,,10.1398,
